DD,EE,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt
DDmx,EEqz,-52.58,60.57,83.12,-37.70,-15.76,12.07,-80.43
,EEksy,-42.52,70.43,-97.91,-33.10,-11.44,41.33,-61.47
,EEmz,-52.04,48.66,77.61,-38.97,-21.07,2.58,-89.95
,EEbhk,-47.02,66.73,87.06,-31.23,-13.06,27.80,-69.91
DDcy,EEcrv,-50.43,64.15,84.06,-33.73,-14.73,19.43,-77.92
,EEbkv,-51.88,53.92,80.20,-39.41,-17.42,6.66,-85.42
,EEmpy,-47.97,67.62,93.22,-30.03,-11.97,28.07,-67.76
,EEmz,-39.05,70.47,-94.78,-33.34,-3.89,43.31,-59.98
DDcjx,EEhq,-43.80,70.34,97.05,-34.84,-11.36,41.78,-63.51
,EEdhv,-47.16,65.33,85.76,-33.92,-13.01,20.18,-73.88
,EEbkv,-39.04,73.52,-90.02,-32.95,-2.53,47.04,-55.71
,EEkqy,-50.77,55.96,80.18,-36.70,-16.10,11.53,-81.53
Average,,-47.02,63.98,40.46,-34.66,-12.70,25.15,-72.29
