CC,DD,AAdn_BBrv,AAdn_BBdl,AAtv_BBmn,AAtv_BBhz,AAdk_BBtw,AAdk_BBpw,AAdk_BBqx,Average
CChv,,-8.66,-5.48,-79.43,5.44,6.30,-17.77,-20.39,-17.14
,  DDlp,-89.15,83.59,-75.75,96.17,11.35,-56.15,-5.42,-5.05
,  DDnt,28.97,-51.62,-83.33,-42.24,1.85,61.76,-29.90,-16.36
,  DDrz,34.20,-48.42,-79.20,-37.61,5.70,-58.92,-25.85,-30.01
CCst,,-5.59,-47.23,-33.73,7.13,13.53,-15.89,25.33,-8.06
,  DDnw,33.62,-49.73,-82.80,-40.43,3.84,-65.77,99.01,-14.61
,  DDcs,41.94,-44.62,-70.40,97.94,24.97,-52.25,-1.56,-0.57
,  DDcl,-92.33,-47.33,52.00,-36.13,11.79,70.36,-21.46,-9.01
Average,,-7.13,-26.36,-56.58,6.28,9.92,-16.83,2.47,-12.60
,  ,-7.13,-26.36,-56.58,6.28,9.92,-16.83,2.47,-12.60
