Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,769.04
AAdk,BBtw,CCst,DDnw,385.6
AAdk,BBtw,CCbx,DDrz,774.88
AAdk,BBtw,CChv,DDcl,136.22
AAdk,BBtw,CCst,DDlp,277.21
AAdk,BBtw,CCbx,DDcs,921.1
AAdk,BBtw,CChv,DDhm,170.81
AAdk,BBtw,CCst,DDnt,812.43
AAdk,BBtw,CCbx,DDnw,814.56
AAdk,BBrv,CChv,DDnt,437.51
AAdk,BBrv,CCst,DDnw,182.42
AAdk,BBrv,CCbx,DDrz,183.46
AAdk,BBrv,CChv,DDcl,955.51
AAdk,BBrv,CCst,DDlp,712.53
AAdk,BBrv,CCbx,DDcs,206.23
AAdk,BBrv,CChv,DDhm,591.86
AAdk,BBrv,CCst,DDnt,594.93
AAdk,BBrv,CCbx,DDnw,343.64
AAdk,BBtw,CChv,DDnt,857.69
AAdk,BBtw,CCst,DDnw,350.84
AAdk,BBtw,CCbx,DDrz,224.13
AAdk,BBtw,CChv,DDcl,608.3
AAdk,BBtw,CCst,DDlp,103.58
AAdk,BBtw,CCbx,DDcs,495.18
AAdk,BBtw,CChv,DDhm,372.92
AAdk,BBtw,CCst,DDnt,246.59
AAdk,BBtw,CCbx,DDnw,509.13
