CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv
CChpx,,3.61,41.21,82.61,61.85,16.22,76.04,34.02
,  DDlmr,3.61,41.21,87.10,61.85,16.22,76.04,34.02
,  DDdlz,12.12,57.06,99.06,71.03,31.49,84.64,40.13
,  DDcmp,7.35,52.61,82.61,66.71,21.97,80.38,37.92
CCbt,,0.34,41.47,85.08,57.76,13.49,72.45,32.99
,  DDmx,0.34,41.47,85.08,57.76,13.49,72.45,32.99
,  DDbmz,10.98,53.68,96.71,67.29,19.12,82.67,37.34
,  DDcwz,3.26,50.72,88.43,63.43,19.06,78.26,33.56
CCfnw,,2.69,42.84,86.24,60.18,16.41,76.00,33.33
,  DDgv,11.67,55.68,99.15,68.60,30.74,83.44,35.41
,  DDqz,5.40,50.82,89.25,63.71,19.66,79.05,36.02
,  DDkrs,2.69,42.84,86.24,60.18,16.41,76.00,33.33
Minimum,,0.34,41.21,82.61,57.76,13.49,72.45,32.99
,  ,0.34,41.21,82.61,57.76,13.49,72.45,32.99
