AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,256.72
AAdk,BBtw,CCst,DDnw,650.6
AAdk,BBtw,CCbx,DDrz,396.63
AAdk,BBtw,CChv,DDcl,402.98
AAdk,BBtw,CCst,DDlp,918.18
AAdk,BBtw,CCbx,DDcs,22.95
AAdk,BBtw,CChv,DDhm,26.24
AAdk,BBtw,CCst,DDnt,667.15
AAdk,BBtw,CCbx,DDnw,168.15
AAdk,BBrv,CChv,DDnt,691.42
AAdk,BBrv,CCst,DDnw,949.52
AAdk,BBrv,CCbx,DDrz,567.38
AAdk,BBrv,CChv,DDcl,696.83
AAdk,BBrv,CCst,DDlp,568.87
AAdk,BBrv,CCbx,DDcs,695.1
AAdk,BBrv,CChv,DDhm,315.64
AAdk,BBrv,CCst,DDnt,976.8
AAdk,BBrv,CCbx,DDnw,599.46
AAdk,BBtw,CChv,DDnt,601.21
AAdk,BBtw,CCst,DDnw,858.34
AAdk,BBtw,CCbx,DDrz,861.39
AAdk,BBtw,CChv,DDcl,608.87
AAdk,BBtw,CCst,DDlp,363.96
AAdk,BBtw,CCbx,DDcs,495.48
AAdk,BBtw,CChv,DDhm,240.26
AAdk,BBtw,CCst,DDnt,632.31
AAdk,BBtw,CCbx,DDnw,508.29
