CC,DD,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv,Average
CChpx,,-16.94,22.49,-13.52,-48.28,42.34,51.41,11.68,7.03
,  DDlmr,-30.86,-72.99,19.81,-53.81,39.45,89.32,49.95,5.84
,  DDcmp,-14.88,66.73,31.96,-47.70,42.12,-33.11,55.14,14.32
,  DDmx,-5.07,73.74,-92.32,-43.32,45.45,98.03,-70.05,0.92
CCbt,,18.40,64.66,20.49,-7.98,-2.59,5.39,-33.29,9.30
,  DDbmz,-9.87,69.19,32.15,81.18,43.62,-32.13,-72.72,15.92
,  DDmx,-33.76,59.48,5.23,-53.11,37.99,-43.33,47.93,2.92
,  DDcwz,98.82,65.30,24.10,-52.01,-89.37,91.63,-75.08,9.06
CCfnw,,-20.66,-63.55,24.93,6.08,-88.21,7.16,-77.33,-30.22
,  DDqz,-21.99,-63.45,29.23,-48.84,-87.60,-35.77,-74.56,-43.28
,  DDgv,-6.47,-57.88,34.74,-9.34,-86.36,-31.54,-75.58,-33.20
,  DDkrs,-33.51,-69.31,10.83,76.43,-90.66,88.79,-81.86,-14.18
