CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBqz,AAfnw_BBkrs,EE,FF
Minimum,,0.04,0.66,78.44,23.46,,
,  ,0.04,0.66,78.44,23.46,,
CCkqy,,55.55,6.55,83.62,31.89,,
,  DDbsz,72.09,21.98,91.46,34.14,EEmz,FFlmr
,  DDcwz,55.55,6.55,83.62,31.89,EEmz,FFgqt
,  DDmx,78.02,25.16,96.49,45.59,EEmz,FFgqt
CCbt,,47.94,0.66,78.44,23.46,,
,  DDhpt,63.16,7.52,84.31,34.52,EEmz,FFlmr
,  DDmpy,74.36,23.22,92.49,39.46,EEmz,FFgqt
,  DDmx,47.94,0.66,78.44,23.46,EEmz,FFgqt
CCcy,,0.04,5.04,80.66,27.45,,
,  DDbkv,0.04,5.04,80.66,27.45,EEmz,FFlmr
,  DDhlt,75.80,23.53,92.56,42.14,EEmz,FFlmr
,  DDbmz,66.01,20.27,88.87,34.57,EEmz,FFgqt
