CC,DD,EE,FF,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp
CCkqy,DDbsz,EEhpx,FFlmr,79.46,41.57,8.03,59.78,94.95
,DDcwz,EEmz,FFgqt,77.08,30.63,7.34,50.42,86.04
,DDmx,EEmz,FFgqt,82.98,46.58,17.48,60.88,96.71
CCcy,DDbkv,EEhpx,FFlmr,70.94,26.77,4.73,48.87,85.65
,DDhlt,EEhpx,FFlmr,82.97,46.30,16.77,60.52,96.05
,DDbmz,EEmz,FFgqt,79.66,36.25,9.67,52.57,89.64
CCbt,DDhpt,EEhpx,FFlmr,77.48,33.37,7.33,50.22,88.95
,DDmpy,EEmz,FFgqt,79.83,43.08,11.04,60.04,95.49
,DDmx,EEmz,FFgqt,63.26,24.75,0.54,48.33,81.65
Minimum,,,,63.26,24.75,0.54,48.33,81.65
