DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,Average
DDmx,EEbhk,39.58,-48.77,4.34,43.87,-31.05,-66.86,-6.25,26.99,-4.77
,EEqz,36.29,71.79,3.53,47.48,91.82,-71.26,-13.46,21.53,23.46
,EEmz,-93.09,-58.36,-0.75,-93.28,-42.10,53.69,-30.91,13.70,-31.39
DDcjx,EEkqy,-92.79,72.59,1.10,-93.88,-38.21,-72.62,-25.97,19.27,-28.81
,EEdhv,-90.09,77.65,3.50,-79.33,-34.90,61.23,-8.60,23.67,-5.86
,EEmz,36.21,-46.01,11.73,-77.24,99.91,-59.81,-3.60,-94.30,-16.64
DDcy,EEcrv,-92.74,72.11,4.88,-82.32,-38.57,60.41,-13.39,22.50,-8.39
,EEmpy,-92.71,-47.78,11.63,51.79,97.47,66.78,-5.56,-95.46,-1.73
,EEbkv,36.76,71.11,0.99,45.72,88.22,55.95,-30.43,-5.64,32.84
Average,,-34.73,18.26,4.55,-26.35,21.40,3.06,-15.35,-7.53,-4.59
