DD,EE,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz
DDcy,,25.62,18.77,6.99,18.94,22.03,12.67,23.50,26.50
,  EEmz,21.04,6.05,6.99,18.94,22.03,12.67,23.50,4.79
,  EEbkv,25.62,17.58,2.06,7.67,19.01,7.50,16.84,26.50
,  EEqz,21.35,18.77,4.39,16.11,1.48,7.38,22.51,0.22
DDmx,,27.77,18.54,5.92,17.15,22.31,9.18,19.52,25.25
,  EEmz,20.16,17.04,1.83,13.83,19.07,7.54,16.14,25.25
,  EEkqy,27.77,18.44,3.21,15.16,20.36,7.29,15.10,12.44
,  EEcrv,27.73,18.54,5.92,17.15,22.31,9.18,19.52,15.65
Maximum,,27.77,18.77,6.99,18.94,22.31,12.67,23.50,26.50
,  ,27.77,18.77,6.99,18.94,22.31,12.67,23.50,26.50
