Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,385.24
AAdk,BBtw,CCst,DDnw,263.9
AAdk,BBtw,CCbx,DDrz,268.0
AAdk,BBtw,CChv,DDcl,274.64
AAdk,BBtw,CCst,DDlp,532.29
AAdk,BBtw,CCbx,DDcs,918.98
AAdk,BBtw,CChv,DDhm,547.9
AAdk,BBtw,CCst,DDnt,807.63
AAdk,BBtw,CCbx,DDnw,45.66
AAdk,BBrv,CChv,DDnt,178.11
AAdk,BBrv,CCst,DDnw,309.43
AAdk,BBrv,CCbx,DDrz,53.22
AAdk,BBrv,CChv,DDcl,960.51
AAdk,BBrv,CCst,DDlp,66.12
AAdk,BBrv,CCbx,DDcs,325.9
AAdk,BBrv,CChv,DDhm,841.31
AAdk,BBrv,CCst,DDnt,466.69
AAdk,BBrv,CCbx,DDnw,979.06
AAdk,BBtw,CChv,DDnt,85.11
AAdk,BBtw,CCst,DDnw,726.44
AAdk,BBtw,CCbx,DDrz,856.36
AAdk,BBtw,CChv,DDcl,610.56
AAdk,BBtw,CCst,DDlp,995.72
AAdk,BBtw,CCbx,DDcs,996.5
AAdk,BBtw,CChv,DDhm,364.66
AAdk,BBtw,CCst,DDnt,886.89
AAdk,BBtw,CCbx,DDnw,118.61
