CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAfnw_BBqz,AAfnw_BBkrs,EE,FF
Minimum,,1.09,55.74,87.83,68.04,30.77,,
,  ,1.09,55.74,87.83,68.04,30.77,,
CCkqy,,10.19,60.18,89.92,70.09,38.56,,
,  DDbsz,18.99,61.08,96.98,76.61,43.63,EEhpx,FFbpv
,  DDbkv,30.34,67.88,99.82,85.05,51.94,EEmz,FFbpv
,  DDcwz,10.19,60.18,89.92,70.09,38.56,EEmz,FFbpv
CCbt,,1.09,55.74,87.83,68.04,30.77,,
,  DDmx,1.09,55.74,87.83,68.04,30.77,EEmz,FFgqt
,  DDmpy,23.08,65.63,95.24,77.42,48.86,EEmz,FFgqt
,  DDhpt,12.25,61.83,91.69,72.64,41.32,EEhpx,FFgqt
CCcy,,3.76,59.70,89.12,70.77,38.17,,
,  DDmx,23.09,65.99,98.13,85.46,50.57,EEhpx,FFlmr
,  DDbmz,17.30,62.63,95.52,75.62,43.97,EEmz,FFlmr
,  DDbkv,3.76,59.70,89.12,70.77,38.17,EEhpx,FFlmr
