DD,EE,AArv_BBst_CCnw,AArv_BBsy_CCdl,AAdk_BBtw_CChv,AAdk_BBrz_CCdt
Average,,7.46,-7.78,10.21,12.40
,  ,7.46,-7.78,10.21,12.40
DDpw,,52.63,-15.86,-15.08,-13.14
,  EEfh,47.98,-32.67,13.82,-66.85
,  EEhr,52.69,-12.33,27.57,71.19
,  EEmn,57.22,-2.59,-86.62,-43.76
DDnt,,5.63,-27.58,18.97,23.47
,  EElp,48.94,-31.04,26.42,-65.25
,  EEdn,-85.35,-43.14,1.49,58.43
,  EEhl,53.29,-8.57,29.00,77.24
DDtv,,-35.87,20.09,26.73,26.86
,  EEdn,-74.40,-3.85,40.52,79.61
,  EEfx,49.21,99.43,27.05,-59.43
,  EEmn,-82.42,-35.30,12.61,60.40
