CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv
CCfnw,,53.04,-17.45,-13.90,27.01,30.69,-15.36,-25.07,74.55
,  DDmx,90.02,52.69,-98.28,-60.63,-29.74,-8.43,-84.09,78.26
,  DDkrs,81.55,43.95,8.50,54.73,91.53,-26.50,-92.59,68.91
,  DDcwz,-45.31,-80.52,13.40,50.55,93.16,-15.16,38.05,74.73
,  DDcmp,85.90,-85.94,20.78,63.40,-32.19,-11.36,38.35,76.28
CCbt,,50.55,14.74,14.61,-73.64,29.03,-17.86,-57.16,8.84
,  DDmx,-48.71,45.09,0.92,-84.27,-37.49,-29.03,-92.27,69.93
,  DDlmr,82.66,47.48,10.56,-75.02,93.33,-19.95,-90.65,-55.62
,  DDqz,84.87,-85.55,16.40,-71.66,94.33,-13.38,-89.07,75.61
,  DDbmz,83.36,51.93,30.54,-63.60,-34.04,-9.06,43.36,-54.55
