AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,707.73
AAdk,BBtw,CCst,DDnw,134.8
AAdk,BBtw,CCbx,DDrz,936.26
AAdk,BBtw,CChv,DDcl,746.42
AAdk,BBtw,CCst,DDlp,651.52
AAdk,BBtw,CCbx,DDcs,235.97
AAdk,BBrv,CChv,DDnt,861.38
AAdk,BBrv,CCst,DDnw,526.79
AAdk,BBrv,CCbx,DDrz,592.61
AAdk,BBrv,CChv,DDcl,84.31
AAdk,BBrv,CCst,DDlp,118.73
AAdk,BBrv,CCbx,DDcs,150.75
AAdk,BBtw,CChv,DDnt,854.99
AAdk,BBtw,CCst,DDnw,857.7
AAdk,BBtw,CCbx,DDrz,444.36
AAdk,BBtw,CChv,DDcl,444.37
AAdk,BBtw,CCst,DDlp,317.54
AAdk,BBtw,CCbx,DDcs,375.08
