CC,DD,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
Minimum,,50.88,0.26,82.20,27.27,11.46,63.74,,
,  ,50.88,0.26,82.20,27.27,11.46,63.74,,
CCcy,,52.58,0.51,84.60,29.24,13.86,66.66,,
,  DDbmz,59.21,6.51,87.85,42.74,17.48,70.69,EEmz,FFgqt
,  DDbkv,52.58,0.51,84.60,29.24,13.86,66.66,EEmz,FFgqt
,  DDhlt,62.31,10.09,90.08,49.68,22.62,77.48,EEmz,FFgqt
CCkqy,,52.42,1.35,84.52,38.00,16.36,67.80,,
,  DDmx,61.73,11.37,92.39,50.65,25.11,81.93,EEmz,FFgqt
,  DDbsz,61.74,8.76,88.03,42.04,22.91,72.03,EEmz,FFgqt
,  DDcwz,52.42,1.35,84.52,38.00,16.36,67.80,EEmz,FFgqt
CCbt,,50.88,0.26,82.20,27.27,11.46,63.74,,
,  DDhpt,57.16,3.66,85.66,38.96,17.78,70.17,EEmz,FFgqt
,  DDmpy,62.24,9.69,87.98,47.55,23.48,71.56,EEmz,FFgqt
,  DDmx,50.88,0.26,82.20,27.27,11.46,63.74,EEmz,FFgqt
