CC,DD,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
CCcy,,93.00,45.05,3.23,28.94,77.18,15.09,61.61,,
,  DDmx,98.63,53.11,7.26,38.55,91.41,21.09,67.47,EEmz,FFgqt
,  DDhpt,97.56,48.49,7.70,35.72,88.64,17.93,64.09,EEmz,FFgqt
,  DDbkv,93.00,45.05,3.23,28.94,77.18,15.09,61.61,EEmz,FFgqt
CCbt,,92.50,40.91,2.29,26.41,74.31,11.25,53.15,,
,  DDmx,92.50,40.91,2.29,26.41,74.31,11.25,53.15,EEmz,FFgqt
,  DDbmz,98.75,52.74,8.33,36.44,89.65,17.34,66.03,EEmz,FFgqt
,  DDcwz,96.70,45.85,4.88,28.53,86.58,15.91,63.65,EEmz,FFgqt
Minimum,,92.50,40.91,2.29,26.41,74.31,11.25,53.15,,
,  ,92.50,40.91,2.29,26.41,74.31,11.25,53.15,,
