CC,DD,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBknr,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
Minimum,,45.33,17.47,5.66,57.07,29.31,19.30,19.80,51.15,,
,  ,45.33,17.47,5.66,57.07,29.31,19.30,19.80,51.15,,
CCcy,,46.27,85.23,7.56,57.07,30.64,19.30,19.80,51.15,,
,  DDbmz,51.50,88.41,13.67,77.68,32.25,95.77,23.78,51.15,EEmz,FFlmr
,  DDmx,54.00,91.88,18.13,81.25,40.64,19.30,22.17,61.19,EEhpx,FFlmr
,  DDbkv,46.27,85.23,7.56,57.07,30.64,93.40,19.80,53.94,EEhpx,FFlmr
CCkqy,,48.65,17.47,10.58,73.11,31.62,23.01,22.10,57.66,,
,  DDcwz,48.65,86.61,10.58,73.11,31.62,95.41,22.10,57.66,EEmz,FFbpv
,  DDbkv,52.33,92.05,18.18,82.82,41.94,23.01,26.73,64.63,EEmz,FFbpv
,  DDbsz,52.27,17.47,16.71,78.28,40.49,98.91,25.81,61.80,EEhpx,FFbpv
CCbt,,45.33,83.86,5.66,64.66,29.31,92.88,20.66,51.34,,
,  DDhpt,54.05,86.73,13.51,73.62,32.82,95.66,23.67,59.30,EEhpx,FFgqt
,  DDmx,45.33,83.86,5.66,64.66,29.31,92.88,20.66,51.34,EEmz,FFgqt
,  DDmpy,53.25,90.52,17.51,77.89,40.14,98.95,26.87,62.40,EEmz,FFgqt
