CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBnqx,AApqr_BBqz,EE,FF
CCbt,,65.74,24.85,90.94,42.90,3.99,51.22,,
,  DDmx,65.74,24.85,90.94,42.90,3.99,51.22,EEmz,FFgqt
,  DDcwz,75.23,30.90,98.99,43.00,15.80,57.77,EEmz,FFgqt
,  DDbmz,80.16,35.27,99.12,46.00,19.74,62.98,EEmz,FFgqt
CCcy,,72.85,28.32,95.85,42.39,5.88,55.79,,
,  DDmx,89.10,38.48,99.60,47.45,20.83,64.25,EEmz,FFgqt
,  DDbkv,72.85,28.32,95.85,42.63,5.88,55.79,EEmz,FFgqt
,  DDhpt,75.81,32.22,99.41,42.39,17.52,58.82,EEmz,FFgqt
Minimum,,65.74,24.85,90.94,42.39,3.99,51.22,,
,  ,65.74,24.85,90.94,42.39,3.99,51.22,,
