DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAhpx_BBlmr_CCjwx,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,Maximum
DDmx,EEqz,14.89,12.55,18.02,3.74,21.37,24.61,3.78,22.41,5.77,24.61
,EEbhk,17.78,15.65,22.13,9.53,23.92,11.40,4.09,25.71,11.80,25.71
,EEmz,7.57,7.79,17.41,0.33,18.40,20.40,0.97,25.79,5.69,25.79
DDcy,EEcrv,16.90,12.51,19.95,7.92,22.68,24.86,4.21,23.31,8.95,24.86
,EEbkv,13.32,6.99,17.23,26.26,10.55,2.72,1.50,24.78,0.12,26.26
,EEmpy,17.82,15.54,22.63,10.81,23.43,15.44,7.55,26.52,14.55,26.52
DDcjx,EEkqy,1.04,8.39,18.69,27.24,20.95,22.00,2.17,25.65,0.66,27.24
,EEdhv,3.00,14.46,19.09,9.92,23.24,7.90,5.53,25.09,8.09,25.09
,EEmz,20.11,8.16,23.30,10.99,23.60,3.55,8.76,26.42,16.27,26.42
Maximum,,20.11,15.65,23.30,27.24,23.92,24.86,8.76,26.52,16.27,27.24
