AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,128.42
AAdk,BBtw,CChv,DDtv,EEmn,386.31
AAdk,BBtw,CChv,DDnt,EEfh,391.93
AAdk,BBtw,CChv,DDtv,EElp,276.3
AAdk,BBst,CChv,DDnt,EEdn,164.64
AAdk,BBst,CChv,DDtv,EEmn,293.55
AAdk,BBst,CChv,DDnt,EEfh,934.27
AAdk,BBst,CChv,DDtv,EElp,939.07
AAdk,BBrz,CChv,DDnt,EEdn,428.43
AAdk,BBrz,CChv,DDtv,EEmn,555.46
AAdk,BBrz,CChv,DDnt,EEfh,687.03
AAdk,BBrz,CChv,DDtv,EElp,303.01
AAdk,BBtw,CChv,DDnt,EEdn,690.42
AAdk,BBtw,CChv,DDtv,EEmn,970.15
AAdk,BBtw,CChv,DDnt,EEfh,334.92
AAdk,BBtw,CChv,DDtv,EElp,596.37
AAdk,BBst,CChv,DDnt,EEdn,727.43
AAdk,BBst,CChv,DDtv,EEmn,990.43
AAdk,BBst,CChv,DDnt,EEfh,609.45
AAdk,BBst,CChv,DDtv,EElp,509.62
