Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,643.66
AAdk,BBtw,CChv,DDtv,EEmn,902.01
AAdk,BBtw,CChv,DDpw,EEfh,138.33
AAdk,BBtw,CChv,DDnt,EElp,16.38
AAdk,BBtw,CChv,DDtv,EEfx,787.3
AAdk,BBtw,CChv,DDpw,EEhr,920.48
AAdk,BBtw,CChv,DDnt,EEhl,412.17
AAdk,BBtw,CChv,DDtv,EEkz,416.4
AAdk,BBtw,CChv,DDpw,EEdn,680.69
AAdk,BBst,CChv,DDnt,EEdn,168.37
AAdk,BBst,CChv,DDtv,EEmn,938.27
AAdk,BBst,CChv,DDpw,EEfh,431.14
AAdk,BBst,CChv,DDnt,EElp,946.68
AAdk,BBst,CChv,DDtv,EEfx,51.5
AAdk,BBst,CChv,DDpw,EEhr,313.83
AAdk,BBst,CChv,DDnt,EEhl,63.48
AAdk,BBst,CChv,DDtv,EEkz,832.19
AAdk,BBst,CChv,DDpw,EEdn,197.98
AAdk,BBtw,CChv,DDnt,EEdn,71.56
AAdk,BBtw,CChv,DDtv,EEmn,206.96
AAdk,BBtw,CChv,DDpw,EEfh,207.61
AAdk,BBtw,CChv,DDnt,EElp,471.07
AAdk,BBtw,CChv,DDtv,EEfx,861.2
AAdk,BBtw,CChv,DDpw,EEhr,224.54
AAdk,BBtw,CChv,DDnt,EEhl,354.0
AAdk,BBtw,CChv,DDtv,EEkz,998.54
AAdk,BBtw,CChv,DDpw,EEdn,360.03
AAdk,BBst,CChv,DDnt,EEdn,874.98
AAdk,BBst,CChv,DDtv,EEmn,238.3
AAdk,BBst,CChv,DDpw,EEfh,378.0
AAdk,BBst,CChv,DDnt,EElp,112.1
AAdk,BBst,CChv,DDtv,EEfx,631.82
AAdk,BBst,CChv,DDpw,EEhr,760.77
AAdk,BBst,CChv,DDnt,EEhl,890.66
AAdk,BBst,CChv,DDtv,EEkz,124.15
AAdk,BBst,CChv,DDpw,EEdn,382.02
