DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs
DDmx,,24.93,24.84,27.73,25.36,6.77,10.15,26.54,15.66
,  EEbhk,24.93,24.84,25.12,18.27,6.77,10.15,3.39,15.66
,  EEmz,12.21,15.69,27.73,16.30,0.69,0.52,19.64,3.93
,  EEqz,14.78,21.34,27.52,25.36,3.08,9.17,26.54,7.73
DDcjx,,26.56,26.41,27.08,6.04,4.51,11.74,25.95,17.36
,  EEdhv,26.56,23.30,26.85,0.64,4.51,10.50,21.15,13.29
,  EEkqy,4.48,16.60,25.26,1.47,1.41,2.28,19.61,11.93
,  EEbkv,16.76,26.41,27.08,6.04,3.17,11.74,25.95,17.36
DDcy,,25.60,24.39,27.83,26.44,7.92,11.35,24.81,14.90
,  EEcrv,25.60,14.20,24.60,17.83,3.07,9.40,20.55,13.65
,  EEbkv,0.22,19.54,27.83,26.44,0.39,6.00,19.34,5.28
,  EEmz,3.21,24.39,26.89,18.19,7.92,11.35,24.81,14.90
Maximum,,26.56,26.41,27.83,26.44,7.92,11.74,26.54,17.36
,  ,26.56,26.41,27.83,26.44,7.92,11.74,26.54,17.36
