CC,DD,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBcjx,AAcqx_BBgv,Minimum,EE,FF
CCbt,,76.35,45.98,1.72,51.38,15.93,26.71,66.62,1.72,,
,  DDmpy,96.07,54.01,10.89,64.22,23.96,36.09,74.74,10.89,EEmz,FFgqt
,  DDhpt,87.93,51.40,10.44,51.38,20.04,34.62,67.03,10.44,EEmz,FFgqt
,  DDmx,76.35,45.98,1.72,55.52,15.93,26.71,66.62,1.72,EEmz,FFgqt
CCkqy,,84.56,48.33,9.39,54.46,18.24,31.00,68.15,9.39,,
,  DDbsz,91.06,53.49,12.53,54.46,23.46,36.00,68.15,12.53,EEmz,FFgqt
,  DDmx,98.89,56.64,14.88,66.88,26.49,41.05,76.90,14.88,EEmz,FFgqt
,  DDcwz,84.56,48.33,9.39,59.73,18.24,31.00,69.90,9.39,EEmz,FFgqt
CCcy,,74.19,48.76,6.42,58.55,15.50,29.69,68.27,6.42,,
,  DDbkv,74.19,48.76,6.42,58.55,15.50,29.69,68.27,6.42,EEmz,FFgqt
,  DDbmz,90.42,51.09,11.12,61.89,20.97,35.71,71.55,11.12,EEmz,FFgqt
,  DDhlt,97.35,53.40,14.30,64.45,25.68,37.55,75.19,14.30,EEmz,FFgqt
Minimum,,74.19,45.98,1.72,51.38,15.50,26.71,66.62,1.72,,
,  ,74.19,45.98,1.72,51.38,15.50,26.71,66.62,1.72,,
