Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,644.36
AAdk,BBtw,CChv,DDtv,EEmn,264.12
AAdk,BBtw,CChv,DDpw,EEfh,651.73
AAdk,BBtw,CChv,DDnt,EElp,908.59
AAdk,BBtw,CChv,DDtv,EEfx,780.05
AAdk,BBtw,CChv,DDpw,EEhr,916.48
AAdk,BBtw,CChv,DDnt,EEhl,405.74
AAdk,BBtw,CChv,DDtv,EEdn,291.55
AAdk,BBtw,CChv,DDpw,EEmn,38.67
AAdk,BBst,CChv,DDnt,EEdn,552.14
AAdk,BBst,CChv,DDtv,EEmn,172.21
AAdk,BBst,CChv,DDpw,EEfh,814.3
AAdk,BBst,CChv,DDnt,EElp,819.88
AAdk,BBst,CChv,DDtv,EEfx,58.48
AAdk,BBst,CChv,DDpw,EEhr,451.29
AAdk,BBst,CChv,DDnt,EEhl,964.73
AAdk,BBst,CChv,DDtv,EEdn,971.25
AAdk,BBst,CChv,DDpw,EEmn,593.81
AAdk,BBtw,CChv,DDnt,EEdn,467.0
AAdk,BBtw,CChv,DDtv,EEmn,599.52
AAdk,BBtw,CChv,DDpw,EEfh,984.36
AAdk,BBtw,CChv,DDnt,EElp,859.96
AAdk,BBtw,CChv,DDtv,EEfx,478.43
AAdk,BBtw,CChv,DDpw,EEhr,350.01
AAdk,BBtw,CChv,DDnt,EEhl,228.83
AAdk,BBtw,CChv,DDtv,EEdn,486.5
AAdk,BBtw,CChv,DDpw,EEmn,999.22
AAdk,BBst,CChv,DDnt,EEdn,232.81
AAdk,BBst,CChv,DDtv,EEmn,494.2
AAdk,BBst,CChv,DDpw,EEfh,622.04
AAdk,BBst,CChv,DDnt,EElp,883.39
AAdk,BBst,CChv,DDtv,EEfx,884.39
AAdk,BBst,CChv,DDpw,EEhr,125.15
AAdk,BBst,CChv,DDnt,EEhl,762.75
AAdk,BBst,CChv,DDtv,EEdn,892.33
AAdk,BBst,CChv,DDpw,EEmn,509.03
