DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs
DDcy,EEmz,67.21,-3.64,-47.00,26.18,94.66,-89.48
,EEcrv,-76.51,-26.98,72.98,8.00,-44.19,33.88
,EEmpy,-71.06,-13.67,-51.98,14.24,90.40,36.75
,EEbkv,43.47,-31.34,71.24,3.66,-44.43,30.95
DDmx,EEbhk,56.07,-1.76,74.38,-8.96,85.61,-95.03
,EEmz,-94.84,-32.35,-58.29,1.48,84.16,29.40
,EEqz,51.62,-27.42,-55.68,5.02,87.87,-98.83
,EEksy,63.85,-5.93,80.30,25.44,85.43,-90.04
DDcjx,EEhq,57.07,-8.03,73.37,15.35,92.35,-91.80
,EEkqy,-80.09,-31.63,72.94,5.61,86.49,31.29
,EEdhv,87.00,-22.62,73.66,9.46,-41.75,34.03
,EEbkv,-59.63,-1.30,-45.85,27.75,-34.90,-90.95
