AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,515.74
AApqr,BBnqx,CCbt,DDcy,EEbkv,516.96
AApqr,BBnqx,CCbt,DDcjx,EEkqy,771.77
AApqr,BBnqx,CCbt,DDmx,EEqz,393.15
AApqr,BBnqx,CCbt,DDcy,EEcrv,140.02
AApqr,BBnqx,CCbt,DDcjx,EEdhv,17.91
AApqr,BBnqx,CCbt,DDmx,EEbhk,786.84
AApqr,BBnqx,CCbt,DDcy,EEmz,791.54
AApqr,BBnqx,CCbt,DDcjx,EEbkv,792.68
AApqr,BBfnw,CCbt,DDmx,EEmz,153.49
AApqr,BBfnw,CCbt,DDcy,EEbkv,664.0
AApqr,BBfnw,CCbt,DDcjx,EEkqy,411.93
AApqr,BBfnw,CCbt,DDmx,EEqz,155.21
AApqr,BBfnw,CCbt,DDcy,EEcrv,416.64
AApqr,BBfnw,CCbt,DDcjx,EEdhv,807.19
AApqr,BBfnw,CCbt,DDmx,EEbhk,684.93
AApqr,BBfnw,CCbt,DDcy,EEmz,44.96
AApqr,BBfnw,CCbt,DDcjx,EEbkv,560.66
AApqr,BBlmr,CCbt,DDmx,EEmz,432.28
AApqr,BBlmr,CCbt,DDcy,EEbkv,434.51
AApqr,BBlmr,CCbt,DDcjx,EEkqy,180.42
AApqr,BBlmr,CCbt,DDmx,EEqz,693.27
AApqr,BBlmr,CCbt,DDcy,EEcrv,570.08
AApqr,BBlmr,CCbt,DDcjx,EEdhv,443.03
AApqr,BBlmr,CCbt,DDmx,EEbhk,831.74
AApqr,BBlmr,CCbt,DDcy,EEmz,65.8
AApqr,BBlmr,CCbt,DDcjx,EEbkv,584.18
AApqr,BBnqx,CCbt,DDmx,EEmz,713.25
AApqr,BBnqx,CCbt,DDcy,EEbkv,844.39
AApqr,BBnqx,CCbt,DDcjx,EEkqy,205.79
AApqr,BBnqx,CCbt,DDmx,EEqz,848.24
AApqr,BBnqx,CCbt,DDcy,EEcrv,594.36
AApqr,BBnqx,CCbt,DDcjx,EEdhv,599.99
AApqr,BBnqx,CCbt,DDmx,EEbhk,344.89
AApqr,BBnqx,CCbt,DDcy,EEmz,346.63
AApqr,BBnqx,CCbt,DDcjx,EEbkv,479.52
AApqr,BBfnw,CCbt,DDmx,EEmz,610.51
AApqr,BBfnw,CCbt,DDcy,EEbkv,613.5
AApqr,BBfnw,CCbt,DDcjx,EEkqy,623.7
AApqr,BBfnw,CCbt,DDmx,EEqz,112.95
AApqr,BBfnw,CCbt,DDcy,EEcrv,501.26
AApqr,BBfnw,CCbt,DDcjx,EEdhv,503.84
AApqr,BBfnw,CCbt,DDmx,EEbhk,380.53
AApqr,BBfnw,CCbt,DDcy,EEmz,126.42
AApqr,BBfnw,CCbt,DDcjx,EEbkv,767.31
