CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAcqx_BBgv,AAcqx_BBcjx,EE,FF
Minimum,,67.60,17.73,56.75,0.72,88.16,80.30,36.70,,
,  ,67.60,17.73,56.75,0.72,88.16,80.30,36.70,,
CCkqy,,70.14,20.95,59.85,1.09,92.05,82.84,43.88,,
,  DDbsz,70.14,22.42,66.60,10.41,96.50,85.11,53.66,EEmz,FFlmr
,  DDcwz,70.33,20.95,59.85,1.09,92.05,82.84,43.88,EEmz,FFgqt
,  DDbkv,79.45,30.78,67.53,9.08,99.11,83.02,57.59,EEmz,FFgqt
CCcy,,67.60,18.57,59.16,1.10,88.16,80.30,43.47,,
,  DDmx,77.87,28.12,67.89,12.19,98.82,82.46,56.70,EEmz,FFlmr
,  DDbmz,67.60,23.33,63.92,9.82,94.63,80.30,51.05,EEmz,FFgqt
,  DDbkv,70.58,18.57,59.16,1.10,88.16,81.98,43.47,EEmz,FFlmr
CCbt,,70.38,17.73,56.75,0.72,89.58,80.32,36.70,,
,  DDhpt,73.19,22.87,60.57,2.87,94.13,83.45,50.79,EEmz,FFlmr
,  DDmx,70.38,17.73,56.75,0.72,89.58,80.32,36.70,EEmz,FFgqt
,  DDmpy,77.80,27.23,67.69,10.92,97.95,85.91,55.24,EEmz,FFgqt
