CC,DD,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBbgp,AAfnw_BBkrs,EE,FF
CCkqy,,90.43,41.04,1.01,26.52,67.87,59.26,11.56,,
,  DDbkv,98.05,53.76,10.09,34.31,77.32,66.65,23.46,EEmz,FFbpv
,  DDbsz,91.76,46.24,1.01,29.90,73.42,64.18,20.20,EEhpx,FFbpv
,  DDcwz,90.43,41.04,1.54,26.52,67.87,59.26,11.56,EEmz,FFbpv
CCbt,,81.43,36.00,1.50,21.43,65.48,58.73,11.76,,
,  DDhpt,91.88,43.43,4.82,25.51,65.75,61.58,13.65,EEhpx,FFgqt
,  DDmpy,94.58,46.21,8.23,33.07,74.87,65.01,20.08,EEmz,FFgqt
,  DDmx,81.43,36.00,1.50,21.43,65.48,58.73,11.76,EEmz,FFgqt
CCcy,,87.50,37.59,2.85,25.16,64.87,58.34,12.50,,
,  DDbkv,87.50,37.59,2.85,25.16,64.87,59.42,12.50,EEhpx,FFlmr
,  DDbmz,92.67,45.04,5.16,29.28,72.09,58.34,13.79,EEmz,FFlmr
,  DDmx,94.87,49.12,9.39,34.05,75.65,65.55,21.00,EEhpx,FFlmr
