AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,610.29
AAdk,BBtw,CCst,DDnw,515.3
AAdk,BBtw,CChv,DDrz,356.6
AAdk,BBtw,CCst,DDcl,164.65
AAdk,BBtw,CChv,DDlp,828.43
AAdk,BBtw,CCst,DDnt,712.17
AAdk,BBrv,CChv,DDnt,619.23
AAdk,BBrv,CCst,DDnw,494.82
AAdk,BBrv,CChv,DDrz,81.21
AAdk,BBrv,CCst,DDcl,177.19
AAdk,BBrv,CChv,DDlp,914.19
AAdk,BBrv,CCst,DDnt,917.12
AAdk,BBtw,CChv,DDnt,118.1
AAdk,BBtw,CCst,DDnw,410.26
AAdk,BBtw,CChv,DDrz,349.51
AAdk,BBtw,CCst,DDcl,669.81
AAdk,BBtw,CChv,DDlp,382.55
AAdk,BBtw,CCst,DDnt,511.09
