Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,388.07
AAdk,BBtw,CChv,DDtv,EEmn,389.1
AAdk,BBtw,CChv,DDpw,EEfh,399.52
AAdk,BBtw,CChv,DDnt,EElp,912.04
AAdk,BBtw,CChv,DDtv,EEfx,661.19
AAdk,BBtw,CChv,DDpw,EEhr,920.76
AAdk,BBtw,CChv,DDnt,EEhl,414.63
AAdk,BBtw,CChv,DDtv,EEdn,799.18
AAdk,BBtw,CChv,DDpw,EEmn,930.2
AAdk,BBst,CChv,DDnt,EEdn,297.39
AAdk,BBst,CChv,DDtv,EEmn,47.27
AAdk,BBst,CChv,DDpw,EEfh,431.17
AAdk,BBst,CChv,DDnt,EElp,181.33
AAdk,BBst,CChv,DDtv,EEfx,56.52
AAdk,BBst,CChv,DDpw,EEhr,184.37
AAdk,BBst,CChv,DDnt,EEhl,701.79
AAdk,BBst,CChv,DDtv,EEdn,705.68
AAdk,BBst,CChv,DDpw,EEmn,70.21
AAdk,BBtw,CChv,DDnt,EEdn,966.79
AAdk,BBtw,CChv,DDtv,EEmn,203.47
AAdk,BBtw,CChv,DDpw,EEfh,461.59
AAdk,BBtw,CChv,DDnt,EElp,82.57
AAdk,BBtw,CChv,DDtv,EEfx,851.75
AAdk,BBtw,CChv,DDpw,EEhr,855.32
AAdk,BBtw,CChv,DDnt,EEhl,216.39
AAdk,BBtw,CChv,DDtv,EEdn,473.94
AAdk,BBtw,CChv,DDpw,EEmn,92.1
AAdk,BBst,CChv,DDnt,EEdn,609.97
AAdk,BBst,CChv,DDtv,EEmn,108.09
AAdk,BBst,CChv,DDpw,EEfh,495.61
AAdk,BBst,CChv,DDnt,EElp,624.85
AAdk,BBst,CChv,DDtv,EEfx,497.72
AAdk,BBst,CChv,DDpw,EEhr,882.13
AAdk,BBst,CChv,DDnt,EEhl,890.07
AAdk,BBst,CChv,DDtv,EEdn,380.85
AAdk,BBst,CChv,DDpw,EEmn,510.49
