AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,513.92
AApqr,BBnqx,CCbt,DDcy,EEbkv,130.03
AApqr,BBnqx,CCbt,DDcjx,EEkqy,774.56
AApqr,BBnqx,CCbt,DDmx,EEqz,649.35
AApqr,BBnqx,CCbt,DDcy,EEcrv,531.08
AApqr,BBnqx,CCbt,DDcjx,EEdhv,535.87
AApqr,BBnqx,CCbt,DDmx,EEbhk,29.89
AApqr,BBnqx,CCbt,DDcy,EEmpy,32.48
AApqr,BBnqx,CCbt,DDcjx,EEmz,930.46
AApqr,BBfnw,CCbt,DDmx,EEmz,931.68
AApqr,BBfnw,CCbt,DDcy,EEbkv,292.03
AApqr,BBfnw,CCbt,DDcjx,EEkqy,37.48
AApqr,BBfnw,CCbt,DDmx,EEqz,935.33
AApqr,BBfnw,CCbt,DDcy,EEcrv,552.1
AApqr,BBfnw,CCbt,DDcjx,EEdhv,559.94
AApqr,BBfnw,CCbt,DDmx,EEbhk,948.75
AApqr,BBfnw,CCbt,DDcy,EEmpy,437.72
AApqr,BBfnw,CCbt,DDcjx,EEmz,309.83
AApqr,BBlmr,CCbt,DDmx,EEmz,181.68
AApqr,BBlmr,CCbt,DDcy,EEbkv,186.83
AApqr,BBlmr,CCbt,DDcjx,EEkqy,699.58
AApqr,BBlmr,CCbt,DDmx,EEqz,315.39
AApqr,BBlmr,CCbt,DDcy,EEcrv,61.18
AApqr,BBlmr,CCbt,DDcjx,EEdhv,704.01
AApqr,BBlmr,CCbt,DDmx,EEbhk,193.35
AApqr,BBlmr,CCbt,DDcy,EEmpy,962.8
AApqr,BBlmr,CCbt,DDcjx,EEmz,197.43
AApqr,BBnqx,CCbt,DDmx,EEmz,846.86
AApqr,BBnqx,CCbt,DDcy,EEbkv,208.32
AApqr,BBnqx,CCbt,DDcjx,EEkqy,339.31
AApqr,BBnqx,CCbt,DDmx,EEqz,984.72
AApqr,BBnqx,CCbt,DDcy,EEcrv,984.15
AApqr,BBnqx,CCbt,DDcjx,EEdhv,859.32
AApqr,BBnqx,CCbt,DDmx,EEbhk,989.83
AApqr,BBnqx,CCbt,DDcy,EEmpy,862.13
AApqr,BBnqx,CCbt,DDcjx,EEmz,734.43
AApqr,BBfnw,CCbt,DDmx,EEmz,867.55
AApqr,BBfnw,CCbt,DDcy,EEbkv,234.21
AApqr,BBfnw,CCbt,DDcjx,EEkqy,364.11
AApqr,BBfnw,CCbt,DDmx,EEqz,109.58
AApqr,BBfnw,CCbt,DDcy,EEcrv,500.0
AApqr,BBfnw,CCbt,DDcjx,EEdhv,116.57
AApqr,BBfnw,CCbt,DDmx,EEbhk,246.41
AApqr,BBfnw,CCbt,DDcy,EEmpy,375.88
AApqr,BBfnw,CCbt,DDcjx,EEmz,127.9
