CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBbkv,AApqr_BBnqx,AApqr_BBbpv
CCbt,DDcwz,-96.86,74.94,-79.19,6.69,-35.36
,DDbmz,33.58,-49.19,-78.02,11.52,-29.71
,DDmx,21.16,71.45,42.53,0.33,88.73
,DDmpy,-91.19,85.56,55.81,17.26,-24.68
CChpx,DDlmr,-99.43,73.69,-84.03,4.27,89.19
,DDmx,42.14,85.46,65.85,17.00,-16.55
,DDcmp,34.39,-53.08,50.53,10.41,99.79
,DDdlz,37.46,-45.35,-73.18,16.10,-25.46
CCfnw,DDgv,36.11,82.50,51.60,11.78,-27.66
,DDknr,-90.29,-43.56,55.86,18.89,-23.93
,DDqz,33.04,72.88,-78.21,6.87,98.39
,DDkrs,24.12,-56.29,43.08,3.63,89.96
Average,,-9.65,24.92,-2.28,10.40,23.56
