DD,EE,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
Average,,-5.57,-47.56,0.55,3.15,21.89,-2.62
,  ,-5.57,-47.56,0.55,3.15,21.89,-2.62
DDcy,,10.89,-29.58,0.94,21.05,23.00,-1.52
,  EEqz,-55.64,34.61,65.06,16.33,54.64,-35.61
,  EEbkv,-56.55,-99.77,62.42,13.14,-78.80,-42.90
,  EEmpy,82.12,-89.30,-62.25,29.75,59.94,-22.67
,  EEdhv,73.63,36.12,-61.49,24.99,56.20,95.08
DDmx,,-22.04,-65.53,0.18,-14.76,20.78,-3.73
,  EEcrv,-55.51,34.51,66.94,22.82,55.23,93.80
,  EEmz,-58.23,-98.43,-69.85,1.83,47.14,-45.85
,  EEbhk,-48.09,-98.53,68.04,-99.52,-71.61,-25.66
,  EEkqy,73.68,-99.67,-64.43,15.83,52.34,-37.19
