DD,EE,AAhpx_BBfnw_CCbmz,AAhpx_BBnqx_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCprw,AApqr_BBfnw_CCbpv,AApqr_BBnqx_CCbt,Maximum
DDcjx,EEkqy,19.95,20.67,11.92,13.26,25.55,2.52,25.55
,EEmz,1.91,25.37,11.63,18.87,6.17,8.23,25.37
,EEdhv,7.71,23.84,14.49,17.78,24.58,3.71,24.58
DDcy,EEcrv,19.63,20.93,4.51,17.43,23.01,4.03,23.01
,EEmpy,2.06,24.16,8.02,18.84,26.16,7.43,26.16
,EEbkv,6.53,19.66,4.42,3.44,27.62,1.24,27.62
DDmx,EEqz,19.98,4.50,12.55,4.19,23.91,3.33,23.91
,EEmz,4.18,18.58,6.71,9.58,26.60,0.37,26.60
,EEbhk,20.94,24.62,15.71,5.11,27.10,6.49,27.10
Maximum,,20.94,25.37,15.71,18.87,27.62,8.23,27.62
