CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,EE,FF
Minimum,,16.46,51.49,78.84,1.02,38.52,,
,  ,16.46,51.49,78.84,1.02,38.52,,
CCbt,,16.46,51.49,78.84,1.02,38.86,,
,  DDhpt,18.92,66.71,87.11,7.96,45.65,EEmz,FFgqt
,  DDmx,16.46,51.49,78.84,1.02,38.86,EEmz,FFgqt
,  DDmpy,26.27,73.73,97.92,11.84,44.66,EEmz,FFgqt
CCkqy,,17.13,55.13,82.83,6.73,44.02,,
,  DDcwz,17.13,55.13,82.83,6.73,44.02,EEmz,FFgqt
,  DDbkv,37.28,78.61,99.44,14.86,50.18,EEmz,FFgqt
,  DDbsz,23.58,72.59,96.39,8.83,47.33,EEmz,FFgqt
CCcy,,17.49,54.02,79.89,3.76,38.52,,
,  DDmx,35.04,75.20,99.38,12.09,48.83,EEmz,FFgqt
,  DDbkv,17.49,54.02,79.89,3.76,38.52,EEmz,FFgqt
,  DDbmz,23.77,67.22,94.69,8.23,44.77,EEmz,FFgqt
