CC,DD,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt
CCfnw,,93.60,41.03,4.43,0.05,70.51,53.09,14.68
,  DDkrs,93.60,41.03,4.43,24.23,70.51,53.09,14.68
,  DDmx,97.46,48.26,11.14,35.02,83.30,66.19,20.46
,  DDqz,99.50,44.47,6.30,0.05,78.25,63.12,17.82
CCbt,,91.14,38.31,4.47,23.97,64.21,52.72,13.49
,  DDcwz,98.53,43.99,6.20,29.34,77.51,60.44,16.02
,  DDmx,91.14,38.31,4.47,23.97,64.21,52.72,13.49
,  DDbmz,99.93,45.61,10.64,35.16,81.34,65.85,18.74
CChpx,,97.59,42.03,6.18,23.89,73.17,56.78,14.63
,  DDkrs,97.59,50.53,10.15,38.58,87.92,65.58,14.63
,  DDcmp,99.38,45.25,9.61,34.74,80.10,63.00,18.40
,  DDlmr,97.72,42.03,6.18,23.89,73.17,56.78,15.40
