Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,768.75
AApqr,BBnqx,CCbt,DDcy,EEbkv,387.96
AApqr,BBnqx,CCbt,DDcjx,EEkqy,515.94
AApqr,BBnqx,CCbt,DDmx,EEqz,901.63
AApqr,BBnqx,CCbt,DDcy,EEcrv,899.18
AApqr,BBnqx,CCbt,DDcjx,EEdhv,899.71
AApqr,BBnqx,CCbt,DDmx,EEbhk,651.2
AApqr,BBnqx,CCbt,DDcy,EEmz,784.23
AApqr,BBnqx,CCbt,DDcjx,EEbkv,402.31
AApqr,BBfnw,CCbt,DDmx,EEmz,20.83
AApqr,BBfnw,CCbt,DDcy,EEbkv,540.16
AApqr,BBfnw,CCbt,DDcjx,EEkqy,288.36
AApqr,BBfnw,CCbt,DDmx,EEqz,163.3
AApqr,BBfnw,CCbt,DDcy,EEcrv,167.82
AApqr,BBfnw,CCbt,DDcjx,EEdhv,552.34
AApqr,BBfnw,CCbt,DDmx,EEbhk,680.73
AApqr,BBfnw,CCbt,DDcy,EEmz,46.32
AApqr,BBfnw,CCbt,DDcjx,EEbkv,943.51
AApqr,BBlmr,CCbt,DDmx,EEmz,950.56
AApqr,BBlmr,CCbt,DDcy,EEbkv,952.95
AApqr,BBlmr,CCbt,DDcjx,EEkqy,697.32
AApqr,BBlmr,CCbt,DDmx,EEqz,838.24
AApqr,BBlmr,CCbt,DDcy,EEcrv,582.05
AApqr,BBlmr,CCbt,DDcjx,EEdhv,710.98
AApqr,BBlmr,CCbt,DDmx,EEbhk,585.43
AApqr,BBlmr,CCbt,DDcy,EEmz,587.06
AApqr,BBlmr,CCbt,DDcjx,EEbkv,975.41
AApqr,BBnqx,CCbt,DDmx,EEmz,848.27
AApqr,BBnqx,CCbt,DDcy,EEbkv,849.05
AApqr,BBnqx,CCbt,DDcjx,EEkqy,465.78
AApqr,BBnqx,CCbt,DDmx,EEqz,978.05
AApqr,BBnqx,CCbt,DDcy,EEcrv,79.48
AApqr,BBnqx,CCbt,DDcjx,EEdhv,854.88
AApqr,BBnqx,CCbt,DDmx,EEbhk,348.21
AApqr,BBnqx,CCbt,DDcy,EEmz,733.27
AApqr,BBnqx,CCbt,DDcjx,EEbkv,226.01
AApqr,BBfnw,CCbt,DDmx,EEmz,738.17
AApqr,BBfnw,CCbt,DDcy,EEbkv,613.8
AApqr,BBfnw,CCbt,DDcjx,EEkqy,232.58
AApqr,BBfnw,CCbt,DDmx,EEqz,618.08
AApqr,BBfnw,CCbt,DDcy,EEcrv,752.29
AApqr,BBfnw,CCbt,DDcjx,EEdhv,120.76
AApqr,BBfnw,CCbt,DDmx,EEbhk,762.49
AApqr,BBfnw,CCbt,DDcy,EEmz,891.77
AApqr,BBfnw,CCbt,DDcjx,EEbkv,383.38
