CC,DD,EE,FF,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBbgp,AAfnw_BBkrs,AAfnw_BBknr,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,Minimum
CCcy,DDmx,EEhpx,FFlmr,32.28,81.60,61.94,23.25,99.94,91.42,7.97,46.01,7.97
,DDbkv,EEhpx,FFlmr,25.01,66.60,52.56,12.28,94.13,85.16,0.73,35.92,0.73
,DDbmz,EEmz,FFgqt,27.73,71.29,56.63,18.65,97.30,88.76,4.31,34.58,4.31
CCkqy,DDbsz,EEhpx,FFlmr,30.87,76.52,56.11,18.91,96.18,89.32,5.58,34.88,5.58
,DDcwz,EEmz,FFgqt,24.79,66.43,54.69,13.95,95.13,85.25,2.36,35.07,2.36
,DDbkv,EEmz,FFgqt,33.29,82.18,0.16,23.85,96.85,91.38,7.30,49.20,0.16
CCbt,DDmx,EEmz,FFgqt,23.33,89.14,49.12,8.36,90.23,83.78,0.53,34.84,0.53
,DDhpt,EEhpx,FFlmr,24.77,71.68,56.23,17.68,96.76,85.42,3.92,35.68,3.92
,DDmpy,EEmz,FFgqt,30.31,77.54,61.14,22.54,99.21,90.86,2.09,41.47,2.09
Minimum,,,,23.33,66.43,0.16,8.36,90.23,83.78,0.53,34.58,0.16
