DD,EE,AArv_BBst_CCnw,AArv_BBst_CCdl,AAdk_BBtw_CChv,AAdk_BBtw_CCdt,Maximum
DDtv,,17.48,25.52,4.01,26.17,26.17
,  EEmn,11.56,25.52,2.24,12.48,25.52
,  EEdn,17.48,19.71,3.83,26.17,26.17
,  EEfx,14.07,9.42,4.01,21.86,21.86
DDnt,,13.08,27.14,6.15,25.24,27.14
,  EEdn,10.00,27.14,1.90,12.39,27.14
,  EElp,13.08,7.40,4.15,13.52,13.52
,  EEhl,12.90,12.01,6.15,25.24,25.24
DDpw,,15.91,23.82,9.34,27.45,27.45
,  EEmn,15.91,7.06,9.34,27.45,27.45
,  EEhr,15.80,9.47,6.84,24.40,24.40
,  EEfh,12.51,23.82,3.59,15.17,23.82
Maximum,,17.48,27.14,9.34,27.45,27.45
,  ,17.48,27.14,9.34,27.45,27.45
