CC,DD,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
CCkqy,,65.91,73.63,5.29,85.98,35.52,21.50,76.39,,
,  DDcwz,65.91,94.36,5.29,85.98,35.52,21.50,76.39,EEmz,FFgqt
,  DDbsz,69.18,97.84,8.34,88.78,41.61,26.89,79.96,EEmz,FFlmr
,  DDbkv,73.28,73.63,16.06,89.18,54.24,31.40,80.71,EEmz,FFgqt
CCcy,,60.50,91.88,7.03,84.39,33.87,18.97,75.89,,
,  DDbmz,69.09,94.87,7.03,85.51,34.35,25.92,78.22,EEmz,FFgqt
,  DDbkv,60.50,91.88,77.66,84.39,33.87,18.97,75.89,EEmz,FFlmr
,  DDmx,68.52,99.93,11.33,84.44,53.31,30.76,81.37,EEmz,FFlmr
CCbt,,55.94,92.13,0.88,83.88,33.28,17.07,74.18,,
,  DDhpt,68.78,94.15,5.63,85.89,34.58,23.86,77.15,EEmz,FFlmr
,  DDmpy,68.95,96.97,7.97,89.19,48.03,27.19,80.37,EEmz,FFgqt
,  DDmx,55.94,92.13,0.88,83.88,33.28,17.07,74.18,EEmz,FFgqt
