DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,Maximum
DDcjx,,9.25,23.11,21.74,17.00,24.99,24.99
,  EEdhv,6.32,23.11,14.28,15.79,8.21,23.11
,  EEhq,9.25,5.00,21.74,17.00,10.40,21.74
,  EEkqy,2.66,17.76,11.88,12.44,24.99,24.99
DDcy,,7.48,23.50,21.55,15.98,23.42,23.50
,  EEcrv,5.65,23.38,0.23,7.61,23.13,23.38
,  EEbkv,2.77,20.21,11.50,11.93,23.42,23.42
,  EEmpy,7.48,23.50,21.55,15.98,10.70,23.50
DDmx,,7.88,25.15,17.74,16.17,25.18,25.18
,  EEqz,4.61,15.49,11.41,13.88,25.18,25.18
,  EEmz,0.56,16.15,10.80,5.44,22.23,22.23
,  EEbhk,7.88,25.15,17.74,16.17,8.81,25.15
Maximum,,9.25,25.15,21.74,17.00,25.18,25.18
,  ,9.25,25.15,21.74,17.00,25.18,25.18
