DD,EE,AArv_BBst_CCnw,AArv_BBtw_CCdl,AArv_BBrz_CChm,AAdk_BBst_CCmx,AAdk_BBtw_CChv,AAdk_BBrz_CCdt
Maximum,,12.39,24.77,14.53,27.70,6.48,17.03
,  ,12.39,24.77,14.53,27.70,6.48,17.03
DDnt,,10.39,19.62,13.66,27.70,5.70,17.03
,  EEfh,9.57,14.45,4.14,27.70,1.21,15.85
,  EEdn,6.96,19.62,13.66,25.89,1.16,6.33
,  EEfx,10.39,16.01,3.26,25.82,5.70,17.03
DDtv,,12.39,24.77,14.53,24.79,6.48,16.82
,  EEmn,6.02,3.66,14.53,24.79,2.22,14.09
,  EElp,10.33,22.26,6.38,5.59,2.03,16.40
,  EEhr,12.39,24.77,3.39,22.52,6.48,16.82
