Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,640.94
AApqr,BBnqx,CCbt,DDcy,EEbkv,387.6
AApqr,BBnqx,CCbt,DDcjx,EEkqy,904.23
AApqr,BBnqx,CCbt,DDmx,EEqz,906.32
AApqr,BBnqx,CCbt,DDcy,EEcrv,275.59
AApqr,BBnqx,CCbt,DDcjx,EEdhv,276.08
AApqr,BBnqx,CCbt,DDmx,EEbhk,410.7
AApqr,BBnqx,CCbt,DDcy,EEmpy,33.08
AApqr,BBnqx,CCbt,DDcjx,EEmz,548.25
AApqr,BBfnw,CCbt,DDmx,EEmz,932.37
AApqr,BBfnw,CCbt,DDcy,EEbkv,165.0
AApqr,BBfnw,CCbt,DDcjx,EEkqy,811.68
AApqr,BBfnw,CCbt,DDmx,EEqz,684.29
AApqr,BBfnw,CCbt,DDcy,EEcrv,429.98
AApqr,BBfnw,CCbt,DDcjx,EEdhv,942.05
AApqr,BBfnw,CCbt,DDmx,EEbhk,431.5
AApqr,BBfnw,CCbt,DDcy,EEmpy,306.84
AApqr,BBfnw,CCbt,DDcjx,EEmz,947.77
AApqr,BBlmr,CCbt,DDmx,EEmz,180.63
AApqr,BBlmr,CCbt,DDcy,EEbkv,567.79
AApqr,BBlmr,CCbt,DDcjx,EEkqy,56.99
AApqr,BBlmr,CCbt,DDmx,EEqz,578.84
AApqr,BBlmr,CCbt,DDcy,EEcrv,70.99
AApqr,BBlmr,CCbt,DDcjx,EEdhv,464.78
AApqr,BBlmr,CCbt,DDmx,EEbhk,466.63
AApqr,BBlmr,CCbt,DDcy,EEmpy,466.88
AApqr,BBlmr,CCbt,DDcjx,EEmz,981.73
AApqr,BBnqx,CCbt,DDmx,EEmz,470.88
AApqr,BBnqx,CCbt,DDcy,EEbkv,600.1
AApqr,BBnqx,CCbt,DDcjx,EEkqy,218.63
AApqr,BBnqx,CCbt,DDmx,EEqz,606.36
AApqr,BBnqx,CCbt,DDcy,EEcrv,616.38
AApqr,BBnqx,CCbt,DDcjx,EEdhv,874.52
AApqr,BBnqx,CCbt,DDmx,EEbhk,363.84
AApqr,BBnqx,CCbt,DDcy,EEmpy,620.86
AApqr,BBnqx,CCbt,DDcjx,EEmz,620.16
AApqr,BBfnw,CCbt,DDmx,EEmz,753.52
AApqr,BBfnw,CCbt,DDcy,EEbkv,242.63
AApqr,BBfnw,CCbt,DDcjx,EEkqy,754.85
AApqr,BBfnw,CCbt,DDmx,EEqz,502.86
AApqr,BBfnw,CCbt,DDcy,EEcrv,631.48
AApqr,BBfnw,CCbt,DDcjx,EEdhv,121.9
AApqr,BBfnw,CCbt,DDmx,EEbhk,762.88
AApqr,BBfnw,CCbt,DDcy,EEmpy,379.4
AApqr,BBfnw,CCbt,DDcjx,EEmz,510.25
