AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,961.86
AAdk,BBtw,CCst,DDnw,738.26
AAdk,BBtw,CCbx,DDrz,131.49
AAdk,BBtw,CChv,DDcl,901.0
AAdk,BBtw,CCst,DDlp,550.78
AAdk,BBtw,CCbx,DDcs,487.17
AAdk,BBrv,CChv,DDnt,456.47
AAdk,BBrv,CCst,DDnw,75.11
AAdk,BBrv,CCbx,DDrz,141.58
AAdk,BBrv,CChv,DDcl,848.16
AAdk,BBrv,CCst,DDlp,146.54
AAdk,BBrv,CCbx,DDcs,20.88
AAdk,BBtw,CChv,DDnt,981.25
AAdk,BBtw,CCst,DDnw,149.8
AAdk,BBtw,CCbx,DDrz,889.45
AAdk,BBtw,CChv,DDcl,282.87
AAdk,BBtw,CCst,DDlp,188.64
AAdk,BBtw,CCbx,DDcs,765.22
