DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBnqx_CCbpv,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt
DDcy,,17.19,13.31,24.82,24.36,24.95,10.93,24.69,3.10
,  EEbkv,3.55,10.55,2.23,24.36,18.93,9.72,18.42,1.97
,  EEmz,5.64,12.48,24.82,0.75,24.95,1.96,24.69,1.66
,  EEcrv,17.19,13.31,21.41,22.45,22.83,10.93,7.19,3.10
DDmx,,17.98,12.80,23.43,25.79,24.17,13.54,24.63,3.26
,  EEmz,15.73,9.44,21.96,25.67,18.49,9.35,18.48,0.98
,  EEqz,0.97,12.80,21.04,21.92,21.21,10.81,0.58,3.04
,  EEbhk,17.98,11.23,23.43,25.79,24.17,13.54,24.63,3.26
DDcjx,,18.97,17.35,25.60,27.00,22.12,25.29,20.72,8.03
,  EEkqy,16.54,11.07,2.07,25.75,11.32,9.39,18.67,2.09
,  EEbkv,18.97,17.35,25.60,6.58,22.12,25.29,0.65,8.03
,  EEdhv,17.63,14.48,22.64,27.00,22.11,11.99,20.72,4.91
Maximum,,18.97,17.35,25.60,27.00,24.95,25.29,24.69,8.03
,  ,18.97,17.35,25.60,27.00,24.95,25.29,24.69,8.03
