AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,906.28
AAdk,BBtw,CChv,DDtv,EEmn,145.8
AAdk,BBtw,CChv,DDnt,EEfh,24.88
AAdk,BBtw,CChv,DDtv,EElp,26.03
AAdk,BBtw,CChv,DDnt,EEfx,27.69
AAdk,BBtw,CChv,DDtv,EEdn,796.66
AAdk,BBst,CChv,DDnt,EEdn,26.23
AAdk,BBst,CChv,DDtv,EEmn,414.33
AAdk,BBst,CChv,DDnt,EEfh,159.76
AAdk,BBst,CChv,DDtv,EElp,35.39
AAdk,BBst,CChv,DDnt,EEfx,419.63
AAdk,BBst,CChv,DDtv,EEdn,807.71
AAdk,BBrz,CChv,DDnt,EEdn,684.3
AAdk,BBrz,CChv,DDtv,EEmn,559.22
AAdk,BBrz,CChv,DDnt,EEfh,433.74
AAdk,BBrz,CChv,DDtv,EElp,947.92
AAdk,BBrz,CChv,DDnt,EEfx,441.05
AAdk,BBrz,CChv,DDtv,EEdn,957.94
AAdk,BBtw,CChv,DDnt,EEdn,319.49
AAdk,BBtw,CChv,DDtv,EEmn,963.43
AAdk,BBtw,CChv,DDnt,EEfh,463.0
AAdk,BBtw,CChv,DDtv,EElp,227.49
AAdk,BBtw,CChv,DDnt,EEfx,868.27
AAdk,BBtw,CChv,DDtv,EEdn,998.67
AAdk,BBst,CChv,DDnt,EEdn,616.82
AAdk,BBst,CChv,DDtv,EEmn,105.4
AAdk,BBst,CChv,DDnt,EEfh,112.14
AAdk,BBst,CChv,DDtv,EElp,122.83
AAdk,BBst,CChv,DDnt,EEfx,252.14
AAdk,BBst,CChv,DDtv,EEdn,895.44
