DD,EE,AAgqt_BBfnw_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt
Maximum,,27.85,16.94,27.71,22.30,8.63
,  ,27.85,16.94,27.71,22.30,8.63
DDcy,,27.32,13.85,26.01,20.19,8.63
,  EEmz,8.15,12.47,26.01,2.84,8.63
,  EEcrv,24.08,13.85,23.77,20.19,2.86
,  EEbkv,27.32,8.26,19.52,14.67,2.09
DDcjx,,27.60,14.90,27.71,20.47,6.85
,  EEdhv,5.67,14.90,22.74,20.47,6.85
,  EEkqy,27.60,12.49,20.74,16.41,3.50
,  EEbkv,11.95,12.78,27.71,4.76,6.36
DDmx,,27.85,16.94,24.87,22.30,7.39
,  EEbhk,6.32,16.94,24.87,22.30,7.39
,  EEmz,27.85,10.18,19.78,13.55,0.54
,  EEqz,23.24,13.90,22.37,17.45,4.61
