DD,EE,AAdk_BBrz_CChv,AAdk_BBtw_CChv,AAdk_BBhz_CChv,AArv_BBst_CCnw,AArv_BBsy_CCnw
Average,,-44.86,14.75,25.16,-30.52,-23.93
,  ,-44.86,14.75,25.16,-30.52,-23.93
DDnt,,-45.93,14.15,6.77,-31.28,6.73
,  EEdn,-85.38,5.94,-43.58,28.01,-64.38
,  EEfh,-80.80,10.22,95.26,-97.85,66.37
,  EEhl,57.31,21.92,-10.60,-88.31,-49.37
,  EEfx,-74.84,18.52,-14.00,33.02,74.31
DDtv,,-43.79,15.34,43.55,-29.75,-54.60
,  EElp,-79.38,13.13,97.76,-97.81,-57.34
,  EEhr,-72.89,20.05,-11.38,36.52,-53.01
,  EEdn,62.38,22.49,-3.18,-87.76,-45.80
,  EEmn,-85.26,5.70,91.01,30.05,-62.25
