DD,EE,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx
DDcjx,,-5.64,31.01,5.31,68.10,-96.44,-8.41,81.39,-85.16
,  EEkqy,-74.13,-35.14,13.19,66.96,-99.72,-14.64,79.05,-89.97
,  EEdhv,62.84,97.15,-2.57,69.24,-93.15,-2.17,83.73,-80.36
DDcy,,-8.34,29.94,11.56,3.31,8.45,-16.66,14.39,-22.34
,  EEbkv,-78.71,92.98,1.76,-61.79,24.50,-26.55,-51.63,39.39
,  EEcrv,62.02,-33.10,21.36,68.41,-7.61,-6.78,80.41,-84.08
DDmx,,-12.17,24.49,9.92,-61.17,-36.99,45.19,13.80,-24.30
,  EEmz,-79.61,85.72,0.60,-62.93,24.58,98.17,76.50,38.41
,  EEqz,55.27,-36.74,19.24,-59.42,-98.57,-7.80,-48.90,-87.00
Average,,-8.72,28.48,8.93,3.41,-41.66,6.71,36.53,-43.94
,  ,-8.72,28.48,8.93,3.41,-41.66,6.71,36.53,-43.94
