AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,384.38
AAdk,BBtw,CCst,DDnw,259.82
AAdk,BBtw,CCbx,DDrz,387.89
AAdk,BBtw,CChv,DDcl,521.28
AAdk,BBtw,CCst,DDlp,650.31
AAdk,BBtw,CCbx,DDcs,779.58
AAdk,BBtw,CChv,DDhm,781.35
AAdk,BBtw,CCst,DDnt,526.93
AAdk,BBtw,CCbx,DDnw,658.07
AAdk,BBrv,CChv,DDnt,663.88
AAdk,BBrv,CCst,DDnw,536.92
AAdk,BBrv,CCbx,DDrz,24.66
AAdk,BBrv,CChv,DDcl,29.72
AAdk,BBrv,CCst,DDlp,413.72
AAdk,BBrv,CCbx,DDcs,287.62
AAdk,BBrv,CChv,DDhm,549.71
AAdk,BBrv,CCst,DDnt,680.39
AAdk,BBrv,CCbx,DDnw,54.9
AAdk,BBmn,CChv,DDnt,54.33
AAdk,BBmn,CCst,DDnw,823.72
AAdk,BBmn,CCbx,DDrz,317.13
AAdk,BBmn,CChv,DDcl,446.54
AAdk,BBmn,CCst,DDlp,958.32
AAdk,BBmn,CCbx,DDcs,323.6
AAdk,BBmn,CChv,DDhm,71.46
AAdk,BBmn,CCst,DDnt,466.98
AAdk,BBmn,CCbx,DDnw,851.3
AAdk,BBtw,CChv,DDnt,609.71
AAdk,BBtw,CCst,DDnw,98.56
AAdk,BBtw,CCbx,DDrz,868.97
AAdk,BBtw,CChv,DDcl,742.97
AAdk,BBtw,CCst,DDlp,999.06
AAdk,BBtw,CCbx,DDcs,998.19
AAdk,BBtw,CChv,DDhm,622.39
AAdk,BBtw,CCst,DDnt,496.97
AAdk,BBtw,CCbx,DDnw,243.39
