Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,384.38
AAdk,BBtw,CChv,DDtv,EEmn,769.98
AAdk,BBtw,CChv,DDpw,EEfh,768.44
AAdk,BBtw,CChv,DDnt,EElp,519.27
AAdk,BBtw,CChv,DDtv,EEfx,653.85
AAdk,BBtw,CChv,DDpw,EEhr,910.33
AAdk,BBst,CChv,DDnt,EEdn,271.92
AAdk,BBst,CChv,DDtv,EEmn,529.77
AAdk,BBst,CChv,DDpw,EEfh,21.85
AAdk,BBst,CChv,DDnt,EElp,542.08
AAdk,BBst,CChv,DDtv,EEfx,931.85
AAdk,BBst,CChv,DDpw,EEhr,805.82
AAdk,BBrz,CChv,DDnt,EEdn,680.06
AAdk,BBrz,CChv,DDtv,EEmn,683.56
AAdk,BBrz,CChv,DDpw,EEfh,811.93
AAdk,BBrz,CChv,DDnt,EElp,812.81
AAdk,BBrz,CChv,DDtv,EEfx,559.67
AAdk,BBrz,CChv,DDpw,EEhr,703.48
AAdk,BBtw,CChv,DDnt,EEdn,577.54
AAdk,BBtw,CChv,DDtv,EEmn,68.43
AAdk,BBtw,CChv,DDpw,EEfh,454.87
AAdk,BBtw,CChv,DDnt,EElp,474.81
AAdk,BBtw,CChv,DDtv,EEfx,477.77
AAdk,BBtw,CChv,DDpw,EEhr,478.81
AAdk,BBst,CChv,DDnt,EEdn,990.92
AAdk,BBst,CChv,DDtv,EEmn,864.67
AAdk,BBst,CChv,DDpw,EEfh,872.66
AAdk,BBst,CChv,DDnt,EElp,623.71
AAdk,BBst,CChv,DDtv,EEfx,115.83
AAdk,BBst,CChv,DDpw,EEhr,631.84
