AA,BB,CC,Value
AA,BB,CC,Value
AAdk,BBtw,CChv,0.39
AAdk,BBdn,CCrv,2.51
AAdk,BBnw,CCtv,2.98
AAdk,BBtw,CCrz,3.43
AAdk,BBdn,CCfh,2.59
AAdk,BBnw,CCdl,6.1
AAdk,BBtw,CCjz,7.43
AAdk,BBdn,CCcs,8.46
AAdk,BBnw,CCcp,9.6
AAnt,BBtw,CChv,10.47
AAnt,BBdn,CCrv,11.32
AAnt,BBnw,CCtv,12.96
AAnt,BBtw,CCrz,10.55
AAnt,BBdn,CCfh,5.74
AAnt,BBnw,CCdl,15.61
AAnt,BBtw,CCjz,16.31
AAnt,BBdn,CCcs,16.07
AAnt,BBnw,CCcp,18.72
AAst,BBtw,CChv,17.74
AAst,BBdn,CCrv,19.69
AAst,BBnw,CCtv,15.47
AAst,BBtw,CCrz,22.69
AAst,BBdn,CCfh,23.47
AAst,BBnw,CCdl,24.69
AAst,BBtw,CCjz,25.85
AAst,BBdn,CCcs,26.2
AAst,BBnw,CCcp,27.3
