DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,Maximum
DDmx,,22.29,25.35,11.44,23.74,17.53,5.89,17.32,26.44,26.44
,  EEmz,19.36,25.35,7.91,21.73,15.92,1.81,13.15,19.86,25.35
,  EEcrv,22.29,11.61,11.44,23.74,7.47,5.89,17.32,26.44,26.44
,  EEkqy,21.59,8.62,9.22,22.91,17.53,3.41,11.74,21.46,22.91
DDcy,,19.99,27.94,11.73,23.27,15.51,5.03,18.63,25.08,27.94
,  EEbkv,19.35,27.94,8.51,21.16,15.51,2.85,14.72,20.32,27.94
,  EEmz,19.02,14.23,11.73,23.27,7.54,5.03,18.63,4.92,23.27
,  EEqz,19.99,3.18,4.80,2.34,6.22,2.93,16.75,25.08,25.08
Maximum,,22.29,27.94,11.73,23.74,17.53,5.89,18.63,26.44,27.94
,  ,22.29,27.94,11.73,23.74,17.53,5.89,18.63,26.44,27.94
