AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,128.19
AAdk,BBtw,CCst,DDnw,646.92
AAdk,BBtw,CCbx,DDrz,774.64
AAdk,BBtw,CChv,DDcl,268.46
AAdk,BBtw,CCst,DDlp,140.0
AAdk,BBtw,CCbx,DDcs,408.09
AAdk,BBtw,CChv,DDhm,664.03
AAdk,BBtw,CCst,DDdf,285.69
AAdk,BBtw,CCbx,DDnt,797.98
AAdk,BBrv,CChv,DDnt,421.72
AAdk,BBrv,CCst,DDnw,683.98
AAdk,BBrv,CCbx,DDrz,559.17
AAdk,BBrv,CChv,DDcl,177.62
AAdk,BBrv,CCst,DDlp,694.29
AAdk,BBrv,CCbx,DDcs,954.4
AAdk,BBrv,CChv,DDhm,702.68
AAdk,BBrv,CCst,DDdf,710.57
AAdk,BBrv,CCbx,DDnt,199.71
AAdk,BBmn,CChv,DDnt,969.22
AAdk,BBmn,CCst,DDnw,76.56
AAdk,BBmn,CCbx,DDrz,856.32
AAdk,BBmn,CChv,DDcl,601.41
AAdk,BBmn,CCst,DDlp,731.38
AAdk,BBmn,CCbx,DDcs,861.71
AAdk,BBmn,CChv,DDhm,606.33
AAdk,BBmn,CCst,DDdf,99.41
AAdk,BBmn,CCbx,DDnt,484.77
AAdk,BBtw,CChv,DDnt,229.94
AAdk,BBtw,CCst,DDnw,997.71
AAdk,BBtw,CCbx,DDrz,104.9
AAdk,BBtw,CChv,DDcl,744.93
AAdk,BBtw,CCst,DDlp,362.51
AAdk,BBtw,CCbx,DDcs,747.88
AAdk,BBtw,CChv,DDhm,497.15
AAdk,BBtw,CCst,DDdf,122.98
AAdk,BBtw,CCbx,DDnt,635.35
