CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBqz,AAfnw_BBkrs,EE,FF
CCbt,,39.21,0.96,60.29,17.73,,
,  DDmx,39.21,0.96,60.29,17.73,EEmz,FFgqt
,  DDhpt,42.85,6.71,69.00,26.73,EEhpx,FFcmp
,  DDmpy,51.72,14.63,82.35,30.19,EEmz,FFbpv
CCkqy,,42.29,5.53,63.13,24.55,,
,  DDbsz,49.66,11.99,82.79,28.02,EEhpx,FFlmr
,  DDmx,57.60,16.67,92.63,38.60,EEmz,FFgqt
,  DDcwz,42.29,5.53,63.13,24.55,EEmz,FFbpv
CCcy,,41.35,1.04,61.39,18.86,,
,  DDbkv,41.35,1.04,61.39,18.86,EEhpx,FFlmr
,  DDhlt,52.89,14.60,88.66,38.75,EEhpx,FFcmp
,  DDbmz,44.32,10.29,74.27,26.65,EEmz,FFgqt
Minimum,,39.21,0.96,60.29,17.73,,
,  ,39.21,0.96,60.29,17.73,,
