DD,EE,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt
DDcy,,-21.48,38.78,-52.69,61.49,-69.61,-47.04,79.20,15.12
,  EEqz,-7.58,48.26,-80.46,69.82,-61.29,-36.61,84.21,25.80
,  EEcrv,-31.86,34.10,-97.35,56.62,-77.56,-53.06,75.83,9.24
,  EEbkv,-30.04,31.72,91.78,52.83,-75.35,-58.13,71.20,1.11
,  EEmpy,-21.79,40.54,-89.10,61.60,-69.56,-45.62,80.56,15.95
,  EEmz,-16.15,39.28,-88.31,66.58,-64.29,-41.77,84.22,23.48
DDcjx,,-18.48,41.12,-68.91,62.04,-67.84,-44.02,82.00,17.89
,  EEdhv,-24.92,38.45,-95.85,58.67,-71.62,-51.62,78.31,10.33
,  EEhq,-20.03,39.61,-88.18,62.83,-67.57,-41.75,82.56,19.11
,  EEcrv,-1.51,49.32,-77.20,67.78,-62.18,-32.83,90.68,30.01
,  EEbkv,-16.00,44.32,-84.27,66.82,-63.19,-38.00,86.32,25.43
,  EEkqy,-29.92,33.88,0.93,54.10,-74.65,-55.88,72.11,4.58
DDmx,,-22.08,37.92,-35.74,60.43,-70.71,-50.16,79.27,12.62
,  EEbhk,-21.65,39.37,-91.91,60.85,-70.74,-51.59,78.39,12.17
,  EEqz,-30.72,32.64,-7.33,56.54,-75.87,-54.76,74.83,5.88
,  EEmz,-31.01,30.41,90.30,50.68,-76.30,-63.39,71.73,-0.80
,  EEkqy,-9.98,45.01,-82.61,68.42,-64.53,-40.01,87.07,25.05
,  EEksy,-17.04,42.16,-87.14,65.68,-66.09,-41.04,84.32,20.80
