DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,Average
DDcjx,,-30.44,-38.20,78.89,2.67,19.85,26.19,-10.51,6.92
,  EEkqy,54.43,-41.40,74.68,40.12,59.12,17.05,-18.82,26.45
,  EEmz,-67.38,-32.50,84.46,51.44,70.04,32.93,-2.22,19.54
,  EEdhv,-78.36,-40.69,77.52,-83.56,-69.62,28.59,-10.50,-25.23
DDmx,,-31.20,2.39,-12.29,-1.49,63.42,19.78,-17.00,3.37
,  EEqz,52.43,-42.41,-53.69,41.58,59.58,20.62,-15.70,8.92
,  EEbhk,-69.38,-36.17,74.01,-79.48,68.56,29.86,-8.60,-3.03
,  EEmz,-76.65,85.75,-57.20,33.43,62.11,8.86,-26.69,4.23
DDcy,,-29.53,3.78,-11.90,0.74,20.67,21.02,-14.91,-1.45
,  EEcrv,56.41,-39.51,-52.28,40.79,65.54,24.47,-10.49,12.13
,  EEmpy,-69.39,93.39,79.26,-79.30,-66.85,30.06,-10.38,-3.32
,  EEbkv,-75.61,-42.53,-62.69,40.73,63.33,8.54,-23.87,-13.16
Average,,-30.39,-10.67,18.23,0.64,34.65,22.33,-14.14,2.95
,  ,-30.39,-10.67,18.23,0.64,34.65,22.33,-14.14,2.95
