AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,516.86
AAdk,BBtw,CCst,DDnw,264.89
AAdk,BBtw,CCbx,DDrz,523.02
AAdk,BBtw,CChv,DDcl,140.22
AAdk,BBtw,CCst,DDlp,19.14
AAdk,BBtw,CCbx,DDcs,286.73
AAdk,BBtw,CChv,DDhm,681.43
AAdk,BBtw,CCst,DDnt,300.6
AAdk,BBtw,CCbx,DDnw,173.37
AAdk,BBrv,CChv,DDnt,946.15
AAdk,BBrv,CCst,DDnw,947.3
AAdk,BBrv,CCbx,DDrz,823.26
AAdk,BBrv,CChv,DDcl,954.04
AAdk,BBrv,CCst,DDlp,827.35
AAdk,BBrv,CCbx,DDcs,573.49
AAdk,BBrv,CChv,DDhm,190.63
AAdk,BBrv,CCst,DDnt,705.01
AAdk,BBrv,CCbx,DDnw,578.3
AAdk,BBmn,CChv,DDnt,66.07
AAdk,BBmn,CCst,DDnw,204.85
AAdk,BBmn,CCbx,DDrz,205.95
AAdk,BBmn,CChv,DDcl,591.29
AAdk,BBmn,CCst,DDlp,336.22
AAdk,BBmn,CCbx,DDcs,337.89
AAdk,BBmn,CChv,DDhm,218.04
AAdk,BBmn,CCst,DDnt,605.64
AAdk,BBmn,CCbx,DDnw,991.36
AAdk,BBtw,CChv,DDnt,865.5
AAdk,BBtw,CCst,DDnw,610.93
AAdk,BBtw,CCbx,DDrz,99.91
AAdk,BBtw,CChv,DDcl,101.21
AAdk,BBtw,CCst,DDlp,613.03
AAdk,BBtw,CCbx,DDcs,493.4
AAdk,BBtw,CChv,DDhm,496.99
AAdk,BBtw,CCst,DDnt,240.29
AAdk,BBtw,CCbx,DDnw,504.21
