DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBlmr_CCcqx,AApqr_BBlmr_CCjwx
Maximum,,11.55,19.38,22.16,27.80,26.96,4.80,27.98,17.63,23.96
,  ,11.55,19.38,22.16,27.80,26.96,4.80,27.98,17.63,23.96
DDmx,,8.84,14.64,22.16,27.80,26.96,4.80,7.90,13.35,23.96
,  EEkqy,8.75,4.22,2.49,24.34,26.96,2.75,2.94,13.35,21.08
,  EEmz,6.20,14.64,18.40,5.49,23.67,0.99,7.90,11.28,7.71
,  EEcrv,8.84,4.89,22.16,27.80,25.99,4.80,0.28,11.77,23.96
DDcy,,11.55,19.38,21.90,27.21,26.64,4.35,27.98,17.63,21.40
,  EEqz,8.20,17.44,21.38,5.00,26.64,3.01,9.75,8.77,21.40
,  EEdhv,11.55,19.38,21.90,27.21,24.77,4.35,10.46,17.63,0.83
,  EEbkv,6.07,3.13,12.28,23.64,25.12,1.12,27.98,11.80,20.40
