CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt,Average
CCbt,,13.91,-23.15,-38.83,75.34,-42.84,-61.51,42.64,-4.92
,  DDcwz,9.12,-26.39,-92.81,71.10,-44.28,-62.60,41.51,-14.91
,  DDbmz,19.15,-20.24,-85.71,74.14,-40.43,-59.67,44.52,-9.75
,  DDmpy,24.02,-11.25,-75.04,92.90,-39.48,-53.24,48.91,-1.88
,  DDmx,3.35,-34.73,98.26,63.24,-47.17,-70.54,35.64,6.86
CChpx,,21.44,-17.09,-83.73,83.79,-40.84,-58.05,48.44,-6.58
,  DDlmr,8.74,-28.55,-93.66,69.50,-46.11,-68.88,38.44,-17.22
,  DDdlz,23.81,-13.31,-80.15,92.84,-38.74,-53.41,48.84,-2.87
,  DDkrs,33.65,-2.79,-72.30,98.27,-35.62,-48.25,62.79,5.11
,  DDcmp,19.58,-23.69,-88.79,74.55,-42.91,-61.65,43.68,-11.32
CCfnw,,16.20,-20.59,-85.85,77.74,-41.56,-61.11,44.06,-10.16
,  DDkrs,6.47,-32.57,-94.98,68.59,-46.94,-69.80,35.44,-19.11
,  DDmx,22.88,-8.88,-74.04,95.64,-36.44,-53.02,50.72,-0.45
,  DDqz,13.12,-26.30,-89.83,73.11,-43.54,-61.20,42.23,-13.20
,  DDgv,22.32,-14.63,-84.54,73.62,-39.31,-60.41,47.87,-7.87
