CC,DD,AAmz_BBcjx,AAmz_BBgqt,AAmz_BBhpt,AApqr_BBnqx,AApqr_BBbpv,AApqr_BBbkv,Average
CChpx,,-73.82,50.62,-12.63,20.98,-45.74,48.58,-2.00
,  DDcmp,-78.96,46.64,-17.74,12.02,-53.34,80.74,-1.77
,  DDqz,-62.26,60.53,-4.02,35.52,-32.51,-92.77,-15.92
,  DDlmr,-85.31,40.81,-22.86,4.70,-56.59,75.75,-7.25
,  DDdlz,-75.77,50.99,-10.73,22.94,-46.93,86.67,4.53
,  DDkrs,-66.79,54.14,-7.78,29.70,-39.31,92.52,10.41
CCbt,,-75.78,48.14,-15.78,14.93,-50.04,43.98,-5.76
,  DDbmz,-78.17,48.43,-14.51,13.41,-54.73,83.79,-0.30
,  DDcwz,-80.21,44.15,-17.50,7.23,-53.66,77.04,-3.82
,  DDlmr,-65.18,59.49,-6.85,28.94,-39.64,-96.01,-19.88
,  DDmpy,-69.83,51.88,-9.92,23.39,-45.60,90.57,6.75
,  DDmx,-85.52,36.74,-30.13,1.66,-56.57,64.49,-11.55
CCfnw,,-75.66,49.73,-13.19,17.66,-49.22,46.14,-4.09
,  DDqz,-79.56,45.45,-16.28,8.24,-56.33,80.37,-3.02
,  DDcwz,-64.40,59.78,-5.83,31.08,-34.74,-94.63,-18.12
,  DDgv,-80.70,49.87,-11.44,17.09,-55.04,85.37,0.86
,  DDmx,-68.34,53.92,-8.94,28.28,-44.80,90.05,8.36
,  DDkrs,-85.28,39.61,-23.48,3.61,-55.20,69.53,-8.54
