DD,EE,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt
Average,,53.08,-71.16,27.78,-16.43,-8.83,-37.29,78.75,7.38
,  ,53.08,-71.16,27.78,-16.43,-8.83,-37.29,78.75,7.38
DDmx,,51.30,-72.95,26.53,-16.87,0.15,-39.34,76.84,6.54
,  EEhq,63.83,-66.26,36.58,-10.31,-93.66,-25.02,87.31,10.34
,  EEmz,40.06,-80.00,15.76,-20.96,95.30,-51.63,67.59,2.73
,  EEkqy,46.71,-76.44,17.82,-19.54,98.07,-45.97,72.62,3.82
,  EEbhk,58.95,-70.65,32.97,-16.65,-98.35,-30.30,78.66,8.11
,  EEcrv,46.95,-71.38,29.52,-16.88,-0.59,-43.78,78.00,7.71
DDcy,,54.86,-69.38,29.04,-15.99,-17.81,-35.23,80.66,8.21
,  EEdhv,53.37,-70.92,29.62,-17.17,-99.34,-31.20,79.84,8.58
,  EEmz,66.63,-55.25,39.55,-4.60,-90.15,-21.60,94.46,14.47
,  EEbkv,43.85,-78.68,16.47,-19.29,94.64,-49.46,66.28,2.99
,  EEmpy,62.87,-68.39,35.86,-19.64,-93.92,-30.62,87.26,10.51
,  EEqz,47.60,-73.64,23.68,-19.26,99.72,-43.28,75.45,4.50
