CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,EE,FF
CCcy,,17.89,63.65,25.99,81.44,93.50,43.32,4.06,,
,  DDmx,26.90,76.25,38.50,87.51,95.60,59.95,10.43,EEhpx,FFlmr
,  DDbkv,17.89,63.65,25.99,81.44,93.50,43.32,4.06,EEhpx,FFlmr
,  DDbmz,23.46,69.90,33.85,82.48,97.41,53.00,6.76,EEmz,FFgqt
CCbt,,17.70,62.51,27.86,79.42,90.76,42.30,3.20,,
,  DDmx,17.70,62.51,27.86,79.42,90.76,42.30,3.20,EEmz,FFgqt
,  DDmpy,25.29,73.98,35.67,86.45,99.52,58.53,9.23,EEmz,FFgqt
,  DDhpt,22.11,67.43,32.09,81.63,95.43,53.76,4.93,EEhpx,FFlmr
CCkqy,,19.52,64.36,31.29,82.14,95.86,46.01,4.17,,
,  DDcwz,19.52,64.36,31.29,82.14,95.86,46.01,4.17,EEmz,FFgqt
,  DDbkv,26.17,77.34,40.43,88.30,96.34,61.15,13.54,EEmz,FFgqt
,  DDbsz,24.77,71.79,34.40,85.51,98.08,57.68,7.50,EEhpx,FFlmr
